feature_and_range,contribution
worst texture > 29.37,-0.19357266024808356
97.59 < worst perimeter <= 124.95,-0.09063724801932158
17.73 < area error <= 24.25,0.0829469009274468
mean texture > 21.71,-0.07882043425432797
worst concavity > 0.39,-0.06591200360839414
683.40 < worst area <= 1033.50,-0.058568274614421253
0.28 < worst symmetry <= 0.32,-0.03588909714788033
0.03 < mean concave points <= 0.07,-0.02931371975862047
541.80 < mean area <= 770.05,0.027619646812356357
14.91 < worst radius <= 18.55,-0.021055151197290088
compactness error > 0.03,0.013428993486598527
0.13 < worst smoothness <= 0.15,-0.013374967393554737
