feature,mean_abs_shap
worst perimeter,0.988006
worst concave points,0.87727094
worst texture,0.75496995
worst area,0.67855877
area error,0.5562452
mean concave points,0.5239387
worst radius,0.50182664
mean smoothness,0.3447957
worst concavity,0.30749673
worst smoothness,0.2876522
mean texture,0.26964894
worst symmetry,0.22618254
mean area,0.18868715
mean compactness,0.16426933
compactness error,0.13140118
mean concavity,0.09052496
radius error,0.07381683
perimeter error,0.069197275
symmetry error,0.06433276
mean radius,0.048951536
concave points error,0.03856052
mean fractal dimension,0.0357811
worst fractal dimension,0.03457542
worst compactness,0.0326357
fractal dimension error,0.030404612
texture error,0.027352536
smoothness error,0.027079655
mean symmetry,0.008792322
concavity error,0.007259078
mean perimeter,0.0062619857
